ID,Offset,Condition,bin,com.raw.distance,com.distance.moving,com.raw.speed,com.speed.moving,com.percentage.moving,ZT,norm_raw_distance,norm_filtered_distance
102120_left_com2,0,cycle,25,50.26556229,6.266710767,0.013962656,0.062982018,2.763888889,1,0.474589054,0.164138837
102120_left_com2,0,cycle,26,37.74429599,0.896364125,0.010484527,0.041691355,0.597222222,2,0.356367837,0.023477733
102120_left_com2,0,cycle,27,48.43603975,0.214822296,0.013454455,0.030688899,0.194444444,3,0.457315371,0.005626665
102120_left_com2,0,cycle,28,37.45239991,0,0.010403444,NA,0,4,0.353611861,0
102120_left_com2,0,cycle,29,34.62807612,0,0.00961891,NA,0,5,0.326945629,0
102120_left_com2,0,cycle,30,35.25084016,0.118223773,0.0097919,0.033778221,0.097222222,6,0.332825539,0.003096539
102120_left_com2,0,cycle,31,40.01120306,0,0.011114223,NA,0,7,0.377771145,0
102120_left_com2,0,cycle,32,33.79571763,0,0.009387699,NA,0,8,0.319086805,0
102120_left_com2,0,cycle,33,37.88090347,0.064885559,0.010522473,0.04325704,0.041666667,9,0.357657635,0.001699494
102120_left_com2,0,cycle,34,30.99395597,0,0.008609432,NA,0,10,0.292633596,0
102120_left_com2,0,cycle,35,40.13947845,0.319196848,0.011149855,0.025535748,0.347222222,11,0.378982274,0.008360462
102120_left_com2,0,cycle,36,51.57371175,1.211435658,0.014326031,0.041773643,0.805555556,12,0.486940123,0.031730145
102120_left_com2,0,cycle,37,43.66901866,0.019910981,0.012130283,0.019910981,0.027777778,13,0.412306902,0.000521512
102120_left_com2,0,cycle,38,47.04995123,0,0.013069431,NA,0,14,0.44422843,0
102120_left_com2,0,cycle,39,57.71030718,0.372731986,0.016030641,0.029818559,0.347222222,15,0.544879612,0.009762664
102120_left_com2,0,cycle,40,51.87011886,0,0.014408366,NA,0,16,0.48973869,0
102120_left_com2,0,cycle,41,59.60026246,0.624114165,0.016555628,0.034673009,0.5,17,0.562723879,0.016346913
102120_left_com2,0,cycle,42,57.05747633,0.430999457,0.015849299,0.031925886,0.375,18,0.538715822,0.011288817
102120_left_com2,0,cycle,43,45.6299145,0.142090546,0.012674976,0.028418109,0.138888889,19,0.430820963,0.003721662
102120_left_com2,0,cycle,44,42.74042363,0,0.01187234,NA,0,20,0.403539447,0
